,Transaction Date,Reported Date,Company,Symbol,Insider Relationship,Shares Traded,Average Price,Total Amount,SharesOwned,Filing
0,2015-04-13Purchase,2015-04-153:56 pm,Century Bancorp Inc,CNBKA,Sloane Barry RCEO and PresidentDirector,1,$83.75,$84,"3,111(DirectIndirect)",View
1,2015-04-13Purchase,2015-04-153:54 pm,Century Bancorp Inc,CNBKA,Evangelista Paul AExecutive Vice President,5,$66.57,$333,"5,542(Direct)",View
2,2015-04-13Purchase,2015-04-153:51 pm,Iheartmedia Inc.,IHRT,Pittman Robert WChief Executive OfficerDirector,2450,$6.999,"$17,148","973,080(IndirectDirect)",View
3,2015-03-16Purchase,2015-04-153:48 pm,Netsol Technologies Inc,NTWK,Burki ShahidDirector,7531,$5.527,"$41,627","54,500(IndirectDirect)",View
4,2015-04-13Purchase,2015-04-153:46 pm,Iheartmedia Inc.,IHRT,"Bressler Richard JPresident, COO and CFODirector",2450,$6.999,"$17,148","955,080(Direct)",View
5,2015-04-15Purchase,2015-04-153:36 pm,Consolidated Edison Inc,ED,"Mcavoy JohnChairman, President & CEODirector",34,$60.81,"$2,068","12,634(IndirectDirect)",View
6,2015-04-14Sale,2015-04-153:35 pm,Village Super Market Inc,VLGEA,Crystal StevenDirector10% Owner,2000,$34.75,"$69,500","944,066(Direct)",View
7,2015-04-13Sale,2015-04-153:14 pm,Pc Connection Inc,PCCC,Gallup PatriciaChairman & Chief Admin OfficerDirector10% Owner,6250,$26.06,"$162,894","7,119,094(IndirectDirect)",View
8,2015-04-15Purchase,2015-04-152:58 pm,Investors Heritage Capital Corp,IHRC,Tap & CoOther,200,$21.2,"$4,240","353,323(Direct)",View
9,2015-04-14Purchase,2015-04-152:58 pm,State Auto Financial Corp,STFC,State Automobile Mutual Insurance Co10% Owner,3626,$24.93,"$90,399","25,827,502(Direct)",View
10,2015-04-13Sale,2015-04-152:57 pm,Perrigo Co Plc,PRGO,"Kingma Todd WExecutive VP, General Counsel",1300,$198.4,"$257,972","10,664(IndirectDirect)",View
11,2015-04-14Sale,2015-04-152:41 pm,Memorial Resource Development Corp.,MRD,Eckerman Steven WayneOther,100000,$18.56,"$1,856,430","954,010(Direct)",View
12,2015-04-13Purchase,2015-04-152:37 pm,Insignia Systems Inc,ISIG,Air T Inc10% Owner,5400,$3.038,"$16,406","1,430,284(Direct)",View
13,2015-04-15Sale,2015-04-152:31 pm,Littelfuse Inc,LFUS,Grillo AnthonyDirector,500,$97.1,"$48,550","68,054(Direct)",View
14,2015-04-14Sale,2015-04-152:29 pm,Kirkland's Inc,KIRK,Kirkland CarlDirector,138100,$23.01,"$3,177,681","832,273(Direct)",View
15,2015-04-14Sale,2015-04-152:29 pm,Sierra Bancorp,BSRR,Woods Gordon TDirector,2500,$16.5,"$41,250","28,500(Direct)",View
16,2015-04-13Sale,2015-04-152:27 pm,Net Element Inc.,NETE,Abdouv NurlanBeno Distribution LtdOther,2518688,$2,"$5,037,376","4,538,737(Indirect)",View
17,2011-08-16Purchase,2015-04-152:25 pm,Tcw Strategic Income Fund Inc,TSI,Rivelle TadPortfolio Manager,10079,$5.39,"$54,326","526,466(DirectIndirect)",View
18,2015-04-14Purchase,2015-04-152:22 pm,Zweig Total Return Fund Inc,ZTR,Neel CarltonSVP & Portfolio Manager,7000,$13.69,"$95,830","65,868(IndirectDirect)",View
19,2015-04-09Sale,2015-04-152:14 pm,Sierra Bancorp,BSRR,Woods Gordon TDirector,2500,$16.6,"$41,500","31,000(Direct)",View
20,2015-04-13Sale,2015-04-152:09 pm,Mattress Firm Holding CORP.,MFRM,Fiorentino David ADirector,6000,$68.51,"$411,041","6,500(Direct)",View
21,2015-02-10Sale,2015-04-152:08 pm,Sierra Bancorp,BSRR,Woods Gordon TDirector,1000,$16.6,"$16,600","33,500(Direct)",View
22,2015-02-09Sale,2015-04-152:02 pm,Sierra Bancorp,BSRR,Woods Gordon TDirector,2000,$16.6,"$33,200","34,500(Direct)",View
23,2015-02-06Sale,2015-04-151:53 pm,Sierra Bancorp,BSRR,Woods Gordon TDirector,2000,$16.6,"$33,200","36,500(Direct)",View
24,2015-04-13Sale,2015-04-151:29 pm,Synchronoss Technologies Inc,SNCR,Lazzaro Nicholas PEVP & Pres of Emerging Markets,1000,$49.41,"$49,410","45,217(Direct)",View
25,2015-04-13Purchase,2015-04-151:19 pm,International Baler Corp,IBAL,Avis Industrial CorpBoren Leland E10% Owner,1000,$1.998,"$1,998","2,633,896(IndirectDirect)",View
26,2015-04-15Sale,2015-04-1512:53 pm,Mead Johnson Nutrition Co,MJN,Golsby Stephen WDirector,5000,$101.3,"$506,550","18,326(Direct)",View
27,2015-04-14Sale,2015-04-1512:41 pm,Memorial Resource Development Corp.,MRD,Nabors JohnOther,21513,$19,"$408,747","195,262(Direct)",View
28,2015-04-15Purchase,2015-04-1512:29 pm,York Water Co,YORW,Waters Ernest JDirector,3,$27.28,$82,524(Direct),View
29,2015-04-15Purchase,2015-04-1512:23 pm,Hemispherx Biopharma Inc,HEB,"Equels Thomas K.CFO, Vice Chairman, SecretaryDirector",100000,$0.2254,"$22,540","1,105,444(Direct)",View
30,2015-04-15Purchase,2015-04-1512:22 pm,York Water Co,YORW,Osman Jeffrey SDirector,2,$26.22,$52,"3,392(DirectIndirect)",View
31,2015-04-15Purchase,2015-04-1512:11 pm,York Water Co,YORW,Newcomer Robert PDirector,20,$24.61,$492,"3,148(Direct)",View
32,2015-04-13Purchase,2015-04-1512:05 pm,Firsthand Technology Value Fund Inc.,SVVC,Landis Kevin MPresidentDirector,21000,$14.37,"$301,779","152,986(Direct)",View
33,2015-04-14Purchase,2015-04-1512:04 pm,Hasco Medical Inc.,HASC,Compton Harold FDirectorOther10% Owner,32500,$0.02392,$778,"215,519,040(IndirectDirect)",View
34,2015-04-15Purchase,2015-04-1512:02 pm,York Water Co,YORW,Gang Michael WDirector,63,$23.53,"$1,482","10,482(Direct)",View
35,2015-04-15Sale,2015-04-1511:56 am,Macy's Inc.,M,Roche Joyce MDirector,10000,$68.13,"$681,301","11,992(Direct)",View
36,2015-04-14Sale,2015-04-1511:53 am,Kmg Chemicals Inc,KMG,Hatcher David L10% Owner,3000,$29.79,"$89,370","1,999,997(Direct)",View
37,2014-09-15Sale,2015-04-1511:51 am,Mind Solutions Inc.,VOIS,Driscoll Kerry MChief Executive OfficerDirector10% Owner,6315742,$0.0021,"$13,263","113,684,256(Direct)",View
38,2014-12-15Sale,2015-04-1511:39 am,Spar Group Inc,SGRP,Franco PatriciaSenior Vice President,252750,$1.41,"$356,377","272,381(Direct)",View
39,2015-04-13Sale,2015-04-1511:29 am,Fuller H B Co,FUL,"Keenan Timothy JVP, Gen. Counsel & Corp. Sec.",18133,$43.66,"$791,701","41,797(IndirectDirect)",View
40,2015-04-14Purchase,2015-04-1511:14 am,Crexendo Inc.,CXDO,Mihaylo Steven GChief Executive OfficerDirector10% Owner,1000,$2.1,"$2,100","6,772,000(Indirect)",View
41,2015-04-09Purchase,2015-04-1511:13 am,Pcs Edventures Com Inc,PCSV,Hackett Todd RaymondCO-CEODirector10% Owner,50000,$0.07,"$3,500","24,528,418(Direct)",View
42,2015-04-14Purchase,2015-04-1511:05 am,Gdl Fund,GDL,Gabelli Mario JDirectorOther,2100,$10.35,"$21,745","1,283,485(IndirectDirect)",View
43,2015-04-13Sale,2015-04-1511:03 am,Village Super Market Inc,VLGEA,Estate Of Perry Sumas10% Owner,21732,$33.37,"$725,253","1,003,318(Direct)",View
44,2015-04-13Sale,2015-04-1510:49 am,Marcus Corp,MCS,"Kissinger Thomas FSr Exec VP, Gen Counsel & Secy",4299,$21.47,"$92,308","50,412(IndirectDirect)",View
45,2015-04-14Sale,2015-04-1510:45 am,Apache Corp,APA,Olson W KreggExec. Vice President,3600,$68.69,"$247,302","45,297(Direct)",View
46,2015-04-14Purchase,2015-04-1510:44 am,First Financial Bancorp,FFBC,Rahe Maribeth SDirector,432,$17.52,"$7,567","9,127(DirectIndirect)",View
47,2015-04-15Purchase,2015-04-1510:38 am,Wilson Bank Holding Co,,Jordan WillDirector,181,$48.35,"$8,751","18,633(Direct)",View
48,2015-04-14Purchase,2015-04-1510:36 am,First Financial Bancorp,FFBC,Olszewski Richard EDirector,345,$17.52,"$6,043","11,553(DirectIndirect)",View
49,2015-04-14Purchase,2015-04-1510:11 am,First Financial Bancorp,FFBC,Meyer Jeffrey DDirector,370,$17.52,"$6,481","33,457(DirectIndirect)",View
50,2015-04-14Purchase,2015-04-1510:03 am,First Financial Bancorp,FFBC,Kramer William JDirector,146,$17.52,"$2,557","16,534(DirectIndirect)",View
51,2015-04-13Purchase,2015-04-1509:59 am,Flex Pharma Inc.,FLKS,Westphal Christoph HPresident and CEODirector10% Owner,282,$19.64,"$5,538","3,903,743(IndirectDirect)",View
52,2015-04-13Sale,2015-04-1509:51 am,Worthington Industries Inc,WOR,"Gilmore Geoffrey GPresident, Worthington Steel",1405,$27.69,"$38,904","48,262(Direct)",View
53,2015-04-14Purchase,2015-04-1509:41 am,First Financial Bancorp,FFBC,Purkrabek Knust Susan LDirector,260,$17.52,"$4,554","13,326(IndirectDirect)",View
54,2015-04-14Purchase,2015-04-1508:00 am,Ladenburg Thalmann Financial Services Inc,LTS,Giovanniello JosephSenior Vice President,2000,$3.734,"$7,467","180,013(Direct)",View
55,2015-04-10Sale,2015-04-149:12 pm,Cutera Inc,CUTR,Connors Kevin PPresident & CEODirector,33596,$13.41,"$450,510","568,709(Direct)",View
56,2015-04-13Sale,2015-04-149:04 pm,Omnicell Inc,OMCL,Petersmeyer Gary SDirector,670,$36.08,"$24,174","17,025(Direct)",View
57,2015-04-10Sale,2015-04-149:00 pm,Intercept Pharmaceuticals Inc,ICPT,Veitinger Klaus R DrDirector,391,$272.1,"$106,391","8,754(Direct)",View
58,2015-04-10Sale,2015-04-148:43 pm,Microsemi Corp,MSCC,Healey William LDirector,1500,$35.89,"$53,835","11,321(Direct)",View
59,2015-04-13Sale,2015-04-148:41 pm,Zendesk Inc.,ZEN,Mcdermott AdrianSVP of Product Development,9116,$22.73,"$207,181","189,250(Direct)",View
60,2015-04-13Sale,2015-04-148:40 pm,Zendesk Inc.,ZEN,Price Matthew AdrianSVP of Global Marketing,1917,$22.71,"$43,535","88,167(Direct)",View
61,2015-04-13Sale,2015-04-148:36 pm,Comscore Inc,SCOR,Brown Michael AndrewChief Technology Officer,400,$52.23,"$20,892","31,423(Direct)",View
62,2015-04-10Sale,2015-04-148:30 pm,Lemaitre Vascular Inc,LMAT,Lemaitre Cornelia WDirectorOther,6707,$8.424,"$56,499","360,223(DirectIndirect)",View
