Org_ID,Org_Name,Org_Street_Address,Org_City,Org_State,Org_Zip,Trans_Type,Trans_Start_Date,Trans_End_Date,Trans_Amount,Trans_Agency,Trans_ID,Trans_Award_Method,Trans_PIN,Trans_Description,Trans_Is_Prime_or_Sub_Contract,Trans_Approval_Date
"102573","90-28 161 STREET ASSOCIATES, LLC","  91-31 QUEENS BOULEVARD","ELMHURST","NY","11373","CONTRACT","10/01/2011","06/30/2012",61124.00,"QUEENS COMM BOARD 12","'CT 442 20111433107","Negotiation","'44220110001","LEASE OF OFFICE SPACE FOR CB#12",,"03/10/2011"
"102573","90-28 161 STREET ASSOCIATES, LLC","  91-31 QUEENS BOULEVARD","ELMHURST","NY","11373","CONTRACT","10/01/2012","09/30/2013",44500.00,"QUEENS COMM BOARD 12","'CT 442 20135401066","Negotiation","'4975740","90-28 161 STREET ASSOCIATES LLC",,"10/19/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","07/01/2006","02/29/2008",95521.00,"PUBLIC ADVOCATE","'CT 101 20070004559","Small Purchase","'0687ACS063","BLANKET ORDER FOR PRINTER TONER CARTRIDGES",,"08/04/2006"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","03/09/2009","06/30/2009",25000.00,"PUBLIC ADVOCATE","'CT 101 20090028266","Small Purchase","'9AC1022","Smoke Detecting Equipment",,"03/09/2009"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","07/01/2010","06/30/2011",47068.00,"PUBLIC ADVOCATE","'CT 101 20111400002","Small Purchase","'11ACS108","BLANKET ORDER FOR PAPER",,"09/30/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","REQUIREMENTS CONTRACT","08/01/2011","02/28/2014",38269.00,"PUBLIC ADVOCATE","'CE 101 20120000331","Competitive Sealed Bid","'85701100034","GARBAGE CAN &? LID, GALVANIZED",,"06/16/2011"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","07/01/2011","06/30/2012",49190.00,"PUBLIC ADVOCATE","'CT 101 20121404801","Small Purchase","'12ACS212","12ACS212",,"08/12/2011"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","12/31/2011","06/30/2014",71094.00,"PUBLIC ADVOCATE","'CT 101 20121425578","Small Purchase","'02512XFAC802","METROPOLITAN OFFICE & COMPUTER",,"01/17/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","05/22/2012","06/30/2012",92150.00,"PUBLIC ADVOCATE","'CT 101 20121442094","Small Purchase","'2300075","SATELLITE PHONE AND ACCESSORIES",,"05/30/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","05/23/2012","06/30/2012",25000.00,"PUBLIC ADVOCATE","'CT 101 20125403136","Small Purchase","'1200007000","METROPOLITAN OFFICE & COMPUTER SUPPLIES",,"06/01/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","08/20/2012","06/30/2013",40000.00,"PUBLIC ADVOCATE","'CT 101 20131401039","Small Purchase","'84113PO017CS","SPECIAL PRINTING PAPERS",,"08/14/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","09/06/2012","12/14/2012",25000.00,"PUBLIC ADVOCATE","'CT 101 20131406017","Small Purchase","'13ACS016","BLANKET ORDER FOR TONER AND DRUMS",,"09/10/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","05/22/2013","06/30/2013",25000.00,"PUBLIC ADVOCATE","'CT 101 20131427361","Small Purchase","'13AC1108","13AC1108",,"05/21/2013"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","08/07/2012","06/30/2013",25000.00,"PUBLIC ADVOCATE","'CT 101 20135400677","Small Purchase","'85613020149","85613020149 RS 0459",,"08/22/2012"
"10505","UNIVERSAL FASTENERS INC","  88-14 ALBERT RD","OZONE PARK","NY","11417","CONTRACT","02/28/2007","06/30/2008",31766.00,"POLICE DEPARTMENT","'CT 056 20080030562","Small Purchase","'05681310061","FUMING CHAMBER,",,"03/28/2008"
"10505","UNIVERSAL FASTENERS INC","  88-14 ALBERT RD","OZONE PARK","NY","11417","CONTRACT","09/17/2010","06/30/2011",25000.00,"POLICE DEPARTMENT","'CT 056 20111411327","Small Purchase","'15701135","KEYS, LOCKS AND EQUIPMENT",,"09/21/2010"
"10505","UNIVERSAL FASTENERS INC","  88-14 ALBERT RD","OZONE PARK","NY","11417","CONTRACT","01/25/2012","08/25/2012",33290.00,"POLICE DEPARTMENT","'CT 056 20121430351","Small Purchase","'8502012PV0810S","PVNYTWEQ - New York Theatre Workshop",,"05/02/2012"
