Org_ID,Org_Name,Org_Street_Address,Org_City,Org_State,Org_Zip,Trans_Type,Trans_Start_Date,Trans_End_Date,Trans_Amount,Trans_Agency,Trans_ID,Trans_Award_Method,Trans_PIN,Trans_Description,Trans_Is_Prime_or_Sub_Contract,Trans_Approval_Date
"101395","SIMONE ROBERTS","  ","BROOKLYN,","NY","11213","SMALL PURCHASE","04/04/2011","06/30/2011",6615.00,"BROOKLYN COMM BOARD 9","'PC 479 20112022171","Request For Proposal","'20110000003","SIMONE ROBERT",,
"101497","SARAH PHILLIPS","  ","BROOKLYN","NY","11231","CONTRACT","02/28/2011","06/30/2011",11125.00,"BROOKLYN COMM BOARD 6","'CT 476 20111435000","Request For Proposal","'47610000002","TEMPORARY SERVICES FROM  FEB. 28, 2011 TO JUNE 30, 2011",,"03/02/2011"
"101497","SARAH PHILLIPS","  ","BROOKLYN","NY","11231","CONTRACT","07/01/2011","12/31/2011",13750.00,"BROOKLYN COMM BOARD 6","'CT 476 20121401471","Request For Proposal","'47610000003","TEMPORARY SERVICES FROM JULY 1, 2011 TO DEC. 31, 2011",,"07/13/2011"
"101497","SARAH PHILLIPS","  ","BROOKLYN","NY","11231","SMALL PURCHASE","01/01/2012","03/09/2012",6250.00,"BROOKLYN COMM BOARD 6","'PC 476 20122013008","Sole Source","'2012000000011","TEMPORARY SERVICES",,
"101497","SARAH PHILLIPS","  ","BROOKLYN","NY","11231","SMALL PURCHASE","07/01/2012","06/30/2013",8550.00,"BROOKLYN COMM BOARD 6","'PC 476 20132001010","Sole Source","'2001010","TEMPORARY SERVICES",,
"101794","NYTECK SYSTEMS INC","  3675 BRONXWOOD AVENUE","BRONX","NY","10469","SMALL PURCHASE","01/28/2011","03/28/2011",10000.00,"BRONX COMM BOARD 12","'PC 392 20112017133","Small Purchase","'2011392001",,,
"102573","90-28 161 STREET ASSOCIATES, LLC","  91-31 QUEENS BOULEVARD","ELMHURST","NY","11373","CONTRACT","04/01/2012","09/30/2012",8625.00,"QUEENS COMM BOARD 12","'CT 442 20135400173","Negotiation","'4975740","LEASE FOR COMMUNITY BOARD #12",,"07/27/2012"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","SMALL PURCHASE","11/20/2005","01/09/2006",8621.00,"PUBLIC ADVOCATE","'PC 101 20060610633","Small Purchase","'806061000633",,,
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","SMALL PURCHASE","07/28/2006","08/29/2006",9116.00,"PUBLIC ADVOCATE","'PC 101 20070001533","Small Purchase","'02507XFAC804",,,
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","SMALL PURCHASE","03/06/2009","06/04/2009",10000.00,"PUBLIC ADVOCATE","'PC 101 20090018957","Small Purchase","'80109SBS2884",,,
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","01/12/2010","06/30/2010",16680.00,"PUBLIC ADVOCATE","'CT 101 20101401369","Small Purchase","'10DHS0389","10DHS0389",,"01/13/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","03/25/2010","06/30/2010",6032.00,"PUBLIC ADVOCATE","'CT 101 20101410352","Small Purchase","'X020072","Printing Job",,"03/25/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","05/17/2010","06/30/2010",19990.00,"PUBLIC ADVOCATE","'CT 101 20101418558","Small Purchase","'X5640297","PAN DISRUPTER KIT WITH POST STAND",,"05/17/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","06/22/2010","06/30/2010",11620.00,"PUBLIC ADVOCATE","'CT 101 20101424301","Small Purchase","'806101001105","SCANNERS",,"06/23/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","08/12/2010","06/30/2011",15000.00,"PUBLIC ADVOCATE","'CT 101 20111406467","Small Purchase","'11ACS130","11ACS130",,"08/13/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","10/21/2010","06/30/2011",6834.00,"PUBLIC ADVOCATE","'CT 101 20111414447","Small Purchase","'15640060","TONER MAINTENANCE KITS",,"10/22/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","10/20/2010","12/20/2010",18230.00,"PUBLIC ADVOCATE","'CT 101 20111416786","Small Purchase","'8502011PV0704S","HH115EAUC - New Family Intake Ctr",,"10/20/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","10/27/2010","06/30/2011",13580.00,"PUBLIC ADVOCATE","'CT 101 20111417731","Small Purchase","'20-18003","CT1",,"10/27/2010"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","03/07/2011","06/30/2011",6620.00,"PUBLIC ADVOCATE","'CT 101 20111435641","Small Purchase","'48335846","OFFICE FURNITURE FOR TELECOMMUNICATIONS DIVISION",,"03/08/2011"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","03/29/2011","06/30/2011",14240.00,"PUBLIC ADVOCATE","'CT 101 20111439271","Small Purchase","'2011-850-271","CT1",,"03/29/2011"
"10480","METROPOLITAN OFFICE & COMPUTER SUPPLIES, INC.","  345 PARK AVENUE","NEW YORK","NY","10154","CONTRACT","04/20/2011","06/30/2011",8848.00,"PUBLIC ADVOCATE","'CT 101 20111442529","Small Purchase","'11SBS7270","OFFICE SUPPLIES",,"04/22/2011"
